post_id,timestamp,platform,category,sector,poster,post_url,title,text,content_hash,engagement_score,engagement_likes,engagement_shares,engagement_comments,source_tool
840d1dea5b0c1eb7,2025-12-03T00:48:53.377274,news,official,,unknown,https://www.ft.lk/business/A-new-business-platform-BELGOLUXSri-Lanka-Business-Council-launches-in-Brussels/34-784958,A new business platform: BELGOLUX–Sri Lanka Business Council launches in Brussels,"Friday, 28 November 2025 05:27",840d1dea5b0c1eb7b90c086ecb4485e3ad7db0f0e30ef704ca43d5062a4f6f2c,0,0,0,0,scrape_local_news
840d1dea5b0c1eb7,2025-12-03T00:48:53.383203,news,official,,unknown,https://www.ft.lk/business/A-new-business-platform-BELGOLUXSri-Lanka-Business-Council-launches-in-Brussels/34-784958,A new business platform: BELGOLUX–Sri Lanka Business Council launches in Brussels,"Friday, 28 November 2025 05:27",840d1dea5b0c1eb7b90c086ecb4485e3ad7db0f0e30ef704ca43d5062a4f6f2c,0,0,0,0,scrape_local_news
dad7ca15ea784204,2025-11-20T04:30:35.000Z,twitter,sector,manufacturing,Eyeview Sri Lanka,https://x.com,,"Pyramid Wilmar Bronze Sponsor for TLC Triathlon Series 2025, organized by Indira Cancer Trust Pyramid Wilmar, one of Sri Lanka’s most progressive and influential corporate entities in the food manufacturing and marketing sector have reinforced the company’s commitment towards",dad7ca15ea784204611adf2fe33e51ce20e0d972fdc1141278dd46bb80b8463e,0,0,0,0,scrape_twitter
cc5ec31a10cb1c2a,2025-11-19T11:17:20.000Z,twitter,sector,manufacturing,Harsh Goenka,https://x.com,,"The view from our Camso/CEAT plant in Midigama, Sri Lanka is pure poetry- an entire lake shimmering like Monet’s Water Lilies. Hard to believe this is the backdrop to a manufacturing facility.",cc5ec31a10cb1c2a3c5bba413eec7e6731675533ba6f1cbe7a1f1da0bcf60cb2,0,0,0,0,scrape_twitter
ce6e292e2834ee2a,2025-12-02T02:52:06.000Z,twitter,sector,manufacturing,Bhaskar Reddy,https://x.com,,"జపాన్‌కు చెందిన ఎయిర్ కండిషనింగ్ దిగ్గజం డైకిన్ (Daikin) తన కొత్త తయారీ ప్లాంట్‌ను శ్రీసిటీలో నవంబర్ 23, 2023న అధికారికంగా ప్రారంభించింది. పెట్టుబడి: ఈ ప్లాంట్ నిర్మాణం కోసం సుమారు ₹1,000 కోట్లు పెట్టుబడి పెట్టింది. ఉద్యోగ అవకాశాలు: ఈ కొత్త యూనిట్ ద్వారా 3,000 మందికి ఉపాధి.",ce6e292e2834ee2a962338241a6f02a2b96a5ea4ceceef933e37dfa944ba9c7a,0,0,0,0,scrape_twitter
0e959e43b6f7360a,2024-08-02T08:00:02.000Z,twitter,sector,manufacturing,Indian Tech & Infra,https://x.com,,"Bengaluru based Sansera Engineering, manufacturer of precision-engineered components for both automotive and non-automotive sectors, signed an MoU with the Karnataka government to expand its manufacturing capacity in Harohalli by investing Rs 2,100 crore.",0e959e43b6f7360a8d0d28f94d865e3e5b00039cc732c8f150ee3f713d77254d,0,0,0,0,scrape_twitter
017ca52ee6b7f2d8,2024-12-20T07:00:21.000Z,twitter,sector,manufacturing,360 ONE Asset,https://x.com,,"Sri Lanka's manufacturing industry is thriving, while India is all about the economic spike. Take a look at their performance with our economic scorecard. #360ONEAsset #WorldCup2023 #WorldCupIndia #IndiavsSriLanka #INDvsSL",017ca52ee6b7f2d8137277090db3095f41c5314f0db135ddc59eb3b3f9e56501,0,0,0,0,scrape_twitter
ce996ef1b1568cfb,2025-12-03T01:02:16.657071,facebook,sector,manufacturing,Sri lanka travel and tourism � ����,https://www.facebook.com,,"We are a small scale garments manufacturing unit situated in weeraketiya Sri Lanka and samples and development unit at Maharagama Sri Lanka is capable of handling  woven and knit production ,we  currently manufacture for Export customers and top local customers
We are now looking for new orders to  optimize our capacity
Please feel free to contact us for your next sample development to bulk  production
ZiniBini -0094711482459",ce996ef1b1568cfb66ef826e4c617548672d7370494840959885252730cd4447,0,0,0,0,scrape_facebook
9914468240cb0d73,2025-12-03T01:02:17.229384,facebook,sector,manufacturing,Sales Representative... Vacancy Ideas..,https://www.facebook.com,,"Job Vacancy – Sales Executive
A leading paint manufacturing company in Sri Lanka is looking for dynamic and dedicated male candidates to join our team as Sales Executives.
Job locations available in Colombo, Gampaha, Rathnapura and Matara.
(Factory located in Gampaha)… See more",9914468240cb0d7312bdd210c35cd7644e380447f36cc6947bee7db3871640ba,0,0,0,0,scrape_facebook
d23432c793bdaf6d,2025-12-03T01:02:17.780008,facebook,sector,manufacturing,AXIO Club Sri lanka,https://www.facebook.com,,TOYOTA AXIO HYBRID WXB (2017)… See more,d23432c793bdaf6d032d4177c6977aada7f632a939600626863d24d2c1680928,0,0,0,0,scrape_facebook
e0afe621b1dd7c08,2025-12-03T01:02:18.332069,facebook,sector,manufacturing,Wagon r buy & sale Sri Lanka 🇱🇰,https://www.facebook.com,,"Suzuki wagon r stingray turbo 2017/2018
⁠2nd owner … See more",e0afe621b1dd7c08e155a15b0d573582745d2f6c594e59167681453c72f447b1,0,0,0,0,scrape_facebook
d9c0dc73943451fb,2025-12-03T01:02:18.826511,facebook,sector,manufacturing,TOYOTA VITZ CLUB OF SRI LANKA 🇱🇰,https://www.facebook.com,,"‎Manufacturing 2016
‎Register 2017
‎2nd owner 2017 to 2025 Emission test reports available
‎Android player
‎Dual multifunction … See more",d9c0dc73943451fb1a3a2a7a279cc0dd79db248862d24ea5f1c0925c4de8cf50,0,0,0,0,scrape_facebook
df76d250adc0bd6a,2025-12-03T01:02:19.394769,facebook,sector,tourism,Sri Lanka Tourism & Travel 🇱🇰,https://www.facebook.com,,"Pray for Sri Lanka
In a time when our beautiful island is facing hardship, uncertainty, and pain, let us come together as one nation. May we find strength in unity… See more",df76d250adc0bd6a0d02806c4555dae5d61ef8f129dac5f3428d98fc90fe2d81,0,0,0,0,scrape_facebook
5f3404d4bbf94d73,2025-12-03T01:02:19.988957,facebook,sector,tourism,Sri Lanka Tourism & Travel 🇱🇰,https://www.facebook.com,,Transport Update – 01 December 2025… See more,5f3404d4bbf94d731165523f5726c255b18f0de07835aaf8c755b956bbc1138f,0,0,0,0,scrape_facebook
527d61ae01b5cdd5,2025-12-03T01:02:20.553888,facebook,sector,tourism,Sri Lanka Tourism & Travel 🇱🇰,https://www.facebook.com,,Golden evenings in Unawatuna — where time slows down and the ocean writes its own poetry.… See more,527d61ae01b5cdd562d5b7338510e6a94317376b39fc5f8d2ce2bbc58846f5c0,0,0,0,0,scrape_facebook
9ca285589f57ce74,2025-12-03T01:02:21.068149,facebook,sector,tourism,RatePunk,https://www.facebook.com,,"Looking for the best deals on roundtrip flights? Check out these offers!
Thailand for $335 roundtrip… See more",9ca285589f57ce74d8a87fa7c7e61b01c623c6351f9f7a648440cbacb09ad0b8,0,0,0,0,scrape_facebook
bd2faf8a5443a332,2025-12-03T01:02:21.537241,facebook,sector,tourism,Sri Lanka Travel and Tourism,https://www.facebook.com,,"Discover Sri Lanka’s Top Attractions with Uva Serene Travels!
Sr… See more",bd2faf8a5443a332926cf6e81006ade4d977fcbdc8c40a123471c9047305f68b,0,0,0,0,scrape_facebook
bb90a014db222508,2025-07-02T05:41:59.000Z,twitter,sector,technology,Starlink,https://x.com,,"Starlink's high-speed, low-latency internet is now available in Sri Lanka! → http:// starlink.com/srilanka",bb90a014db222508295f14f60be9c0a1aa4ec1c316ee4b20861d8a8358ca9805,0,0,0,0,scrape_twitter
78fc91ff1eb75eae,2025-11-30T16:54:26.000Z,twitter,sector,technology,India in Sri Lanka,https://x.com,,"#OperationSagarBandhu intensifies with @IAF_MCC aircraft C 130 J landing in Colombo bringing further humanitarian relief items to . This includes about 4 tonnes of BHISHM modular trauma cubes, about 5 tons of medical supplies as per the request of Ministry of Health as well",78fc91ff1eb75eae7abedc6845ffac59e5c69f414fd4f000d81b6ab9a5205374,0,0,0,0,scrape_twitter
ddd66ebd0cc57340,2025-12-01T11:50:24.000Z,twitter,sector,technology,India in Sri Lanka,https://x.com,,#OperationSagarBandhu: Aid in Action A team of @IAF_MCC medical experts trained @airforcelk personnel today at Katunayake on the use of BHISHM cubes- rapidly deployable modular field hospitals. The equipment will be deployed in affected areas tomorrow to provide urgent medical relief. @LkDefence @airforcelk @srilanka_navy @MFA_SriLanka @MEAIndia @IndianDiplomacy,ddd66ebd0cc57340ed865e7fe2e3172c703bcad9f594bd5018381a63efcc1e51,0,0,0,0,scrape_twitter
516be6c8510dcfb3,2025-11-20T10:24:40.000Z,twitter,sector,technology,Resonant News,https://x.com,,"Indian Army has deployed a specialised contingent to Sri Lanka under Operation Sagar Bandhu This reinforces India’s commitment to stand by the Sri Lankan people in their hour of need. The contingent comprises dedicated medical, engineering and signals components equipped to",516be6c8510dcfb38056fb87ac78c03ee08d13a7b52cbda6239a56754ca07f7e,0,0,0,0,scrape_twitter
f340dbdc77c16ed7,2025-12-02T12:53:21.000Z,twitter,sector,technology,NewsWire,https://x.com,,The Government of India is providing Sri Lanka with two rapidly deployable Field Hospitals with 70 personnel to provide healthcare support to disaster-affected areas in the country. D: https:// newswire.lk/y5ja,f340dbdc77c16ed76a5dfa174a757792257fecf99c2332f841b7bb1a12c54c5d,0,0,0,0,scrape_twitter
ab2d6ffb582c41af,2025-12-03T01:02:24.649079,facebook,sector,technology,Information Communication Technology Agency of Sri Lanka - ICTA,https://www.facebook.com,,Together We Build Global Entrepreneurship Week 2025 Sri Lanka… See more,ab2d6ffb582c41afa6a9e3b584bb76c8e1b728c617b5146b565fc7c6f1bf15f9,0,0,0,0,scrape_facebook
b4ef866d4ca31744,2025-12-03T01:02:25.117359,facebook,sector,technology,"Faculty of Technology - University of Sri Jayewardenepura, Sri Lanka",https://www.facebook.com,,"Conference on Innovation and Emerging Technologies 2025 (ICIET 2025) Workshops held at the Faculty of Technology, University of Sri Jayawardenepura on 26th November 202… See more",b4ef866d4ca317449882a2fa5c58d512593dcc914b90499f5d9465f1a2140e5b,0,0,0,0,scrape_facebook
244d0b9008c574d6,2025-12-03T01:02:25.603585,facebook,sector,technology,Mobile Phones Buy & Sell Sri Lanka🇱🇰,https://www.facebook.com,,Vivo New Slim Smart Phone : 400MP Camera with 7300mAh battery,244d0b9008c574d60a74e3c9fab2095433db8f54def8824f777c44609706ac2a,0,0,0,0,scrape_facebook
de8192bc9ba991d0,2025-12-03T01:02:26.088671,facebook,sector,technology,"S
s
t
r
o
n
p
e
o
d
3
i
9
1
1
9
0
7
4
l
0
J
u
i
1
2
0
4
m
h
i
1
7
l
8
5
1
f
0
9
g
a
l
a
6
l
6
a
a
 
u
g
l
h
y
l
1
l
1
h",https://www.facebook.com,,Bring Sustainability to the World with SLTC!… See more,de8192bc9ba991d03927488e528340172777d5fc66e93a7c959c90f40c3fda30,0,0,0,0,scrape_facebook
48fd1a308c19573f,2025-12-03T01:02:26.646418,facebook,sector,technology,Dahua Technology Sri Lanka,https://www.facebook.com,,"Congratulations to Sarasi Computer House (Pvt) Ltd on the Grand Opening of your New Branch in Kottawa!
We at Dahua Technology Sri Lanka are truly delighted to celeb… See more",48fd1a308c19573fec998a0d8d9da66777567635a6c5864ecb1537424ebc175b,0,0,0,0,scrape_facebook
840d1dea5b0c1eb7,2025-12-03T00:48:53.377274,news,official,,unknown,https://www.ft.lk/business/A-new-business-platform-BELGOLUXSri-Lanka-Business-Council-launches-in-Brussels/34-784958,A new business platform: BELGOLUX–Sri Lanka Business Council launches in Brussels,"Friday, 28 November 2025 05:27",840d1dea5b0c1eb7b90c086ecb4485e3ad7db0f0e30ef704ca43d5062a4f6f2c,0,0,0,0,scrape_local_news
840d1dea5b0c1eb7,2025-12-03T00:48:53.383203,news,official,,unknown,https://www.ft.lk/business/A-new-business-platform-BELGOLUXSri-Lanka-Business-Council-launches-in-Brussels/34-784958,A new business platform: BELGOLUX–Sri Lanka Business Council launches in Brussels,"Friday, 28 November 2025 05:27",840d1dea5b0c1eb7b90c086ecb4485e3ad7db0f0e30ef704ca43d5062a4f6f2c,0,0,0,0,scrape_local_news
dad7ca15ea784204,2025-11-20T04:30:35.000Z,twitter,sector,manufacturing,Eyeview Sri Lanka,https://x.com,,"Pyramid Wilmar Bronze Sponsor for TLC Triathlon Series 2025, organized by Indira Cancer Trust Pyramid Wilmar, one of Sri Lanka’s most progressive and influential corporate entities in the food manufacturing and marketing sector have reinforced the company’s commitment towards",dad7ca15ea784204611adf2fe33e51ce20e0d972fdc1141278dd46bb80b8463e,0,0,0,0,scrape_twitter
cc5ec31a10cb1c2a,2025-11-19T11:17:20.000Z,twitter,sector,manufacturing,Harsh Goenka,https://x.com,,"The view from our Camso/CEAT plant in Midigama, Sri Lanka is pure poetry- an entire lake shimmering like Monet’s Water Lilies. Hard to believe this is the backdrop to a manufacturing facility.",cc5ec31a10cb1c2a3c5bba413eec7e6731675533ba6f1cbe7a1f1da0bcf60cb2,0,0,0,0,scrape_twitter
ce6e292e2834ee2a,2025-12-02T02:52:06.000Z,twitter,sector,manufacturing,Bhaskar Reddy,https://x.com,,"జపాన్‌కు చెందిన ఎయిర్ కండిషనింగ్ దిగ్గజం డైకిన్ (Daikin) తన కొత్త తయారీ ప్లాంట్‌ను శ్రీసిటీలో నవంబర్ 23, 2023న అధికారికంగా ప్రారంభించింది. పెట్టుబడి: ఈ ప్లాంట్ నిర్మాణం కోసం సుమారు ₹1,000 కోట్లు పెట్టుబడి పెట్టింది. ఉద్యోగ అవకాశాలు: ఈ కొత్త యూనిట్ ద్వారా 3,000 మందికి ఉపాధి.",ce6e292e2834ee2a962338241a6f02a2b96a5ea4ceceef933e37dfa944ba9c7a,0,0,0,0,scrape_twitter
0e959e43b6f7360a,2024-08-02T08:00:02.000Z,twitter,sector,manufacturing,Indian Tech & Infra,https://x.com,,"Bengaluru based Sansera Engineering, manufacturer of precision-engineered components for both automotive and non-automotive sectors, signed an MoU with the Karnataka government to expand its manufacturing capacity in Harohalli by investing Rs 2,100 crore.",0e959e43b6f7360a8d0d28f94d865e3e5b00039cc732c8f150ee3f713d77254d,0,0,0,0,scrape_twitter
017ca52ee6b7f2d8,2024-12-20T07:00:21.000Z,twitter,sector,manufacturing,360 ONE Asset,https://x.com,,"Sri Lanka's manufacturing industry is thriving, while India is all about the economic spike. Take a look at their performance with our economic scorecard. #360ONEAsset #WorldCup2023 #WorldCupIndia #IndiavsSriLanka #INDvsSL",017ca52ee6b7f2d8137277090db3095f41c5314f0db135ddc59eb3b3f9e56501,0,0,0,0,scrape_twitter
ce996ef1b1568cfb,2025-12-03T01:02:30.853869,facebook,sector,manufacturing,Sri lanka travel and tourism � ����,https://www.facebook.com,,"We are a small scale garments manufacturing unit situated in weeraketiya Sri Lanka and samples and development unit at Maharagama Sri Lanka is capable of handling  woven and knit production ,we  currently manufacture for Export customers and top local customers
We are now looking for new orders to  optimize our capacity
Please feel free to contact us for your next sample development to bulk  production
ZiniBini -0094711482459",ce996ef1b1568cfb66ef826e4c617548672d7370494840959885252730cd4447,0,0,0,0,scrape_facebook
9914468240cb0d73,2025-12-03T01:02:31.365284,facebook,sector,manufacturing,Sales Representative... Vacancy Ideas..,https://www.facebook.com,,"Job Vacancy – Sales Executive
A leading paint manufacturing company in Sri Lanka is looking for dynamic and dedicated male candidates to join our team as Sales Executives.
Job locations available in Colombo, Gampaha, Rathnapura and Matara.
(Factory located in Gampaha)… See more",9914468240cb0d7312bdd210c35cd7644e380447f36cc6947bee7db3871640ba,0,0,0,0,scrape_facebook
d23432c793bdaf6d,2025-12-03T01:02:31.924577,facebook,sector,manufacturing,AXIO Club Sri lanka,https://www.facebook.com,,TOYOTA AXIO HYBRID WXB (2017)… See more,d23432c793bdaf6d032d4177c6977aada7f632a939600626863d24d2c1680928,0,0,0,0,scrape_facebook
e0afe621b1dd7c08,2025-12-03T01:02:32.467878,facebook,sector,manufacturing,Wagon r buy & sale Sri Lanka 🇱🇰,https://www.facebook.com,,"Suzuki wagon r stingray turbo 2017/2018
⁠2nd owner … See more",e0afe621b1dd7c08e155a15b0d573582745d2f6c594e59167681453c72f447b1,0,0,0,0,scrape_facebook
d9c0dc73943451fb,2025-12-03T01:02:32.960342,facebook,sector,manufacturing,TOYOTA VITZ CLUB OF SRI LANKA 🇱🇰,https://www.facebook.com,,"‎Manufacturing 2016
‎Register 2017
‎2nd owner 2017 to 2025 Emission test reports available
‎Android player
‎Dual multifunction … See more",d9c0dc73943451fb1a3a2a7a279cc0dd79db248862d24ea5f1c0925c4de8cf50,0,0,0,0,scrape_facebook
df76d250adc0bd6a,2025-12-03T01:02:33.501522,facebook,sector,tourism,Sri Lanka Tourism & Travel 🇱🇰,https://www.facebook.com,,"Pray for Sri Lanka
In a time when our beautiful island is facing hardship, uncertainty, and pain, let us come together as one nation. May we find strength in unity… See more",df76d250adc0bd6a0d02806c4555dae5d61ef8f129dac5f3428d98fc90fe2d81,0,0,0,0,scrape_facebook
5f3404d4bbf94d73,2025-12-03T01:02:33.983978,facebook,sector,tourism,Sri Lanka Tourism & Travel 🇱🇰,https://www.facebook.com,,Transport Update – 01 December 2025… See more,5f3404d4bbf94d731165523f5726c255b18f0de07835aaf8c755b956bbc1138f,0,0,0,0,scrape_facebook
527d61ae01b5cdd5,2025-12-03T01:02:34.493928,facebook,sector,tourism,Sri Lanka Tourism & Travel 🇱🇰,https://www.facebook.com,,Golden evenings in Unawatuna — where time slows down and the ocean writes its own poetry.… See more,527d61ae01b5cdd562d5b7338510e6a94317376b39fc5f8d2ce2bbc58846f5c0,0,0,0,0,scrape_facebook
9ca285589f57ce74,2025-12-03T01:02:34.994220,facebook,sector,tourism,RatePunk,https://www.facebook.com,,"Looking for the best deals on roundtrip flights? Check out these offers!
Thailand for $335 roundtrip… See more",9ca285589f57ce74d8a87fa7c7e61b01c623c6351f9f7a648440cbacb09ad0b8,0,0,0,0,scrape_facebook
bd2faf8a5443a332,2025-12-03T01:02:35.586692,facebook,sector,tourism,Sri Lanka Travel and Tourism,https://www.facebook.com,,"Discover Sri Lanka’s Top Attractions with Uva Serene Travels!
Sr… See more",bd2faf8a5443a332926cf6e81006ade4d977fcbdc8c40a123471c9047305f68b,0,0,0,0,scrape_facebook
bb90a014db222508,2025-07-02T05:41:59.000Z,twitter,sector,technology,Starlink,https://x.com,,"Starlink's high-speed, low-latency internet is now available in Sri Lanka! → http:// starlink.com/srilanka",bb90a014db222508295f14f60be9c0a1aa4ec1c316ee4b20861d8a8358ca9805,0,0,0,0,scrape_twitter
78fc91ff1eb75eae,2025-11-30T16:54:26.000Z,twitter,sector,technology,India in Sri Lanka,https://x.com,,"#OperationSagarBandhu intensifies with @IAF_MCC aircraft C 130 J landing in Colombo bringing further humanitarian relief items to . This includes about 4 tonnes of BHISHM modular trauma cubes, about 5 tons of medical supplies as per the request of Ministry of Health as well",78fc91ff1eb75eae7abedc6845ffac59e5c69f414fd4f000d81b6ab9a5205374,0,0,0,0,scrape_twitter
ddd66ebd0cc57340,2025-12-01T11:50:24.000Z,twitter,sector,technology,India in Sri Lanka,https://x.com,,#OperationSagarBandhu: Aid in Action A team of @IAF_MCC medical experts trained @airforcelk personnel today at Katunayake on the use of BHISHM cubes- rapidly deployable modular field hospitals. The equipment will be deployed in affected areas tomorrow to provide urgent medical relief. @LkDefence @airforcelk @srilanka_navy @MFA_SriLanka @MEAIndia @IndianDiplomacy,ddd66ebd0cc57340ed865e7fe2e3172c703bcad9f594bd5018381a63efcc1e51,0,0,0,0,scrape_twitter
516be6c8510dcfb3,2025-11-20T10:24:40.000Z,twitter,sector,technology,Resonant News,https://x.com,,"Indian Army has deployed a specialised contingent to Sri Lanka under Operation Sagar Bandhu This reinforces India’s commitment to stand by the Sri Lankan people in their hour of need. The contingent comprises dedicated medical, engineering and signals components equipped to",516be6c8510dcfb38056fb87ac78c03ee08d13a7b52cbda6239a56754ca07f7e,0,0,0,0,scrape_twitter
f340dbdc77c16ed7,2025-12-02T12:53:21.000Z,twitter,sector,technology,NewsWire,https://x.com,,The Government of India is providing Sri Lanka with two rapidly deployable Field Hospitals with 70 personnel to provide healthcare support to disaster-affected areas in the country. D: https:// newswire.lk/y5ja,f340dbdc77c16ed76a5dfa174a757792257fecf99c2332f841b7bb1a12c54c5d,0,0,0,0,scrape_twitter
ab2d6ffb582c41af,2025-12-03T01:02:39.167684,facebook,sector,technology,Information Communication Technology Agency of Sri Lanka - ICTA,https://www.facebook.com,,Together We Build Global Entrepreneurship Week 2025 Sri Lanka… See more,ab2d6ffb582c41afa6a9e3b584bb76c8e1b728c617b5146b565fc7c6f1bf15f9,0,0,0,0,scrape_facebook
b4ef866d4ca31744,2025-12-03T01:02:39.902217,facebook,sector,technology,"Faculty of Technology - University of Sri Jayewardenepura, Sri Lanka",https://www.facebook.com,,"Conference on Innovation and Emerging Technologies 2025 (ICIET 2025) Workshops held at the Faculty of Technology, University of Sri Jayawardenepura on 26th November 202… See more",b4ef866d4ca317449882a2fa5c58d512593dcc914b90499f5d9465f1a2140e5b,0,0,0,0,scrape_facebook
244d0b9008c574d6,2025-12-03T01:02:40.762929,facebook,sector,technology,Mobile Phones Buy & Sell Sri Lanka🇱🇰,https://www.facebook.com,,Vivo New Slim Smart Phone : 400MP Camera with 7300mAh battery,244d0b9008c574d60a74e3c9fab2095433db8f54def8824f777c44609706ac2a,0,0,0,0,scrape_facebook
de8192bc9ba991d0,2025-12-03T01:02:41.518080,facebook,sector,technology,"S
s
t
r
o
n
p
e
o
d
3
i
9
1
1
9
0
7
4
l
0
J
u
i
1
2
0
4
m
h
i
1
7
l
8
5
1
f
0
9
g
a
l
a
6
l
6
a
a
 
u
g
l
h
y
l
1
l
1
h",https://www.facebook.com,,Bring Sustainability to the World with SLTC!… See more,de8192bc9ba991d03927488e528340172777d5fc66e93a7c959c90f40c3fda30,0,0,0,0,scrape_facebook
48fd1a308c19573f,2025-12-03T01:02:42.210333,facebook,sector,technology,Dahua Technology Sri Lanka,https://www.facebook.com,,"Congratulations to Sarasi Computer House (Pvt) Ltd on the Grand Opening of your New Branch in Kottawa!
We at Dahua Technology Sri Lanka are truly delighted to celeb… See more",48fd1a308c19573fec998a0d8d9da66777567635a6c5864ecb1537424ebc175b,0,0,0,0,scrape_facebook
